,location,continent,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,population,latitude,longitude
210,Ukraine,Europe,2503710,57600.484,59384,1366.191,43466822,48.379433,31.16558
211,United Arab Emirates,Asia,735180,73583.615,2094,209.587,9991083,23.424076,53.847818
212,United Kingdom,Europe,7737941,113447.712,136569,2002.269,68207114,55.378051,-3.435973
213,United States of America,North America,43116432,129511.805,690426,2073.88,332915074,37.09024,-95.712891
214,Uruguay,South America,388572,111493.559,6053,1736.797,3485152,-32.522779,-55.765835
215,Uzbekistan,Asia,172493,5082.927,1225,36.098,33935765,41.377491,64.585262
216,Vanuatu,Oceania,4,12.72,1,3.18,314464,-15.376706,166.959158
217,Vatican,Europe,27,33251.232,,,812,41.902916,12.453389
218,Venezuela,South America,363300,12656.355,4412,153.702,28704947,6.42375,-66.58973
219,Vietnam,Asia,766051,7803.404,18758,191.079,98168829,14.058324,108.277199
220,Wallis and Futuna,Oceania,,,,,11094,-13.768752,-177.156097
221,Yemen,Asia,8988,294.779,1703,55.853,30490639,15.552727,48.516388
222,Zambia,Africa,208867,11039.099,3647,192.752,18920657,-13.133897,27.849332
223,Zimbabwe,Africa,129919,8608.371,4607,305.258,15092171,-19.015438,29.154857
